PUNTO_VENTA;CODIGO_PDV;PV.NOMBRE||'|'||EQU.NOMBRE;SFLEX.PKG_CIFRAR.FUN_DECRYPT(EQU.DIRECCION_MAC)
17678;20344;ALTOS DE COVICOM | ALTOS DE COVICOM;2C:F0:5D:EA:F9:E2
17247;20003;AMERICAS | AMERICAS;30:9C:23:28:1B:42
17675;20347;ASOCIACION DE AMIGOS | ASOSIACION DE AMIGOS;55:55:55:55:55:55
17675;21121;ASOCIACION DE AMIGOS | ASOCIACION DE AMIGOS;D8:BB:C1:95:C2:DD
17249;20005;AUTO CHANCE DARIEN | AUTO CHANCE DARIEN;9C:6B:00:19:39:74
17248;20004;AUTO CHANCE MONTECARLO | AUTO CHANCE MONTECARLO;1C:69:7A:17:42:F6
16439;20377;AVENIDA PARATEBUENO | AVENIDA PARATEBUENO;A8:A1:59:99:2F:A6
17035;19887;BANCO DE LA REPUBLICA  1 | BANCO DE LA REPUBLICA 1;D8:BB:C1:95:C2:D8
17052;19888;BANCO DE LA REPUBLICA  2 | BANCO DE LA REPUBLICA 2;70:85:C2:D2:97:24
17681;20343;BANCO POPULAR | BANCO POPULAR;30:9C:23:9A:7C:7A
17917;300007;BATEAS | bateas;D8:BB:C1:04:24:A4
300001;20330;BILLARES  AVENIDA 1634 | BILLARES AVENIDA;2C:F0:5D:22:E0:4B
17666;20337;BILLARES ACACIAS | BILLARES ACACIAS ;30:9C:23:DC:2A:53
17068;21100;BILLARES EMPORIO | BILLARES EMPORIO 2332;A8:A1:59:99:32:04
17715;20220;BILLARES RICAUTE GRANADA | BILLARES RICAUTE GRANADA;D8:BB:C1:95:CE:51
17234;21108;BINGO PLUS EL REY | BINGO PLUS EL REY;D8:BB:C1:04:39:24
17067;21101;BUENA VISTA | BUENA VISTA;30:9C:23:9A:7C:39
17730;20270;BULEVAR | BULEVAR;2C:F0:5D:22:E0:4C
17866;20226;CACAYAL | CACAYAL;1C:69:7A:1C:0E:8C
17233;21102;CALLE DE LOS NEGROS | CALLE DE LOS NEGROS;2C:F0:5D:EA:8A:22
17251;20007;CAMINOS DE MONTECARLO | nosirve;0:D8:61:3:1B:98
17251;21089;CAMINOS DE MONTECARLO | CAMINOS DE MONTECARLOS;4C:CC:6A:D7:12:49
17831;20266;CAMPOALEGRE | CAMPOALEGRE;30:9C:23:DC:40:44
17906;21133;CANOHERO 2 | CANOHERO 2;1C:69:7A:1C:08:AF
19012;20029;CARULLA PRIMAVERA URBANA 4341 | CARULLA PRIMAVERA URBANA;7C:4D:8F:A4:8B:1D
17252;20008;CASA DEL JUGO | CASA DEL JUGO;30:9C:23:28:1B:9E
17315;20058;CASA DEL JUGO DOS | CASA DEL JUGO DOS ;00:00:00:00
17032;19927;CASA DEL KUMIS | CASA DEL KUMIS;2C:F0:5D:EB:00:EF
17048;19928;CASA DEL KUMIS E | CASA DEL KUMIS E2;A8:A1:59:78:73:98
17723;20241;CASINO EL DORADO | CASINO EL DORADO;2C:F0:5D:EA:FE:E1
17055;19882;CASINO FARAON | CASINO FARAON;D8:BB:C1:04:23:3D
17241;21109;CASINO LA PLAZA | CASINO LA PLAZA;D8:BB:C1:04:22:52
